VIN,Year,make-id,model-id,lat,lng,accuracy,dealership-id,log_entry_dt,last_scan_dt
WP1AA2A57LLB00315,2020,49,719,41.273836,-75.805039,3,395,"2020-05-20 16:50:39","2020-05-20 16:50:38"
WP1AA2A22GLA11389,2016,49,722,41.273881,-75.805075,3,395,"2020-05-20 16:49:57","2020-05-20 16:49:53"
WP0CB2A91FS155170,2015,49,717,41.273924,-75.804953,3,395,"2020-05-20 16:48:17","2020-05-20 16:48:16"
WP0AB2A95LS228902,2020,49,717,41.273954,-75.804934,3,395,"2020-05-20 16:47:05","2020-05-20 16:47:04"
WP1AA2A56JLB10282,2018,49,719,41.273966,-75.804913,3,395,"2020-05-20 16:46:24","2020-05-20 16:46:23"
WP0CA299XVS340579,1997,49,717,41.273890,-75.804889,3,395,"2020-05-20 16:45:31","2020-05-20 16:45:30"
WP1AA2A59LLB08240,2020,49,719,41.274018,-75.805116,3,395,"2020-05-20 15:47:44","2020-05-20 15:47:43"
WP1AA2A56LLB08969,2020,49,719,41.274057,-75.805103,3,395,"2020-05-20 15:47:03","2020-05-20 15:47:02"
WP1AG2A55LLB55036,2020,49,719,41.274020,-75.805063,3,395,"2020-05-20 15:45:55","2020-05-20 15:45:53"
WP1AB2A59LLB35922,2020,49,719,41.274076,-75.805053,3,395,"2020-05-20 15:45:13","2020-05-20 15:45:10"
WP1AA2A54LLB08291,2020,49,719,41.274077,-75.805017,3,395,"2020-05-20 15:44:00","2020-05-20 15:43:59"
WP1AA2A50LLB08997,2020,49,719,41.274056,-75.804969,3,395,"2020-05-20 15:43:20","2020-05-20 15:43:19"
WP0AB2A7XHL120971,2017,49,715,41.274114,-75.805002,3,395,"2020-05-20 15:42:26","2020-05-20 15:42:25"
WP1AA2AY0LDA05664,2020,49,722,41.274076,-75.804970,3,395,"2020-05-20 15:41:40","2020-05-20 15:41:39"
WP1AA2AY5KDA10051,2019,49,722,41.274121,-75.804941,3,395,"2020-05-20 15:40:51","2020-05-20 15:40:50"
WP1AA2AY2LDA03088,2020,49,722,41.274071,-75.804936,3,395,"2020-05-20 15:40:16","2020-05-20 15:40:15"
WP1AA2A59LLB07167,2020,49,719,41.274123,-75.804936,3,395,"2020-05-20 15:39:10","2020-05-20 15:39:09"
WP1AA2AY9LDA00348,2020,49,722,41.274081,-75.804893,3,395,"2020-05-20 15:37:56","2020-05-20 15:37:55"
WP1AA2A53HLB03364,2017,49,719,32.313112,-80.983057,19,454,"2020-05-20 12:28:36","2020-05-20 12:28:35"
WP0AC2A93JS174719,2018,49,717,42.129547,-88.133760,0,57,"2020-05-19 20:10:07","2020-05-21 20:25:07"
WP1AA2A24ELA95860,2014,49,722,41.273708,-75.804611,3,395,"2020-05-19 18:09:46","2020-05-19 18:09:45"
WP1AA2A51LLB05770,2020,49,719,41.273681,-75.804575,3,395,"2020-05-19 18:08:56","2020-05-19 18:08:55"
WP1BF2AY2LDA65225,2020,49,722,41.273632,-75.804516,3,395,"2020-05-19 18:08:01","2020-05-19 18:08:00"
WP0AB2A92LS227495,2020,49,717,41.273600,-75.804521,3,395,"2020-05-19 18:07:25","2020-05-19 18:07:24"
WP1AA2A50KLB02163,2019,49,719,41.273557,-75.804553,3,395,"2020-05-19 18:06:34","2020-05-19 18:06:33"
WP1BA2AY5LDA46974,2020,49,722,41.273419,-75.804885,3,395,"2020-05-19 18:04:29","2020-05-19 18:04:28"
WP1AG2A56JLB60968,2018,49,719,41.273463,-75.804896,3,395,"2020-05-19 18:03:28","2020-05-19 18:03:26"
WP0BB2A96JS134318,2018,49,717,41.273682,-75.805133,4,395,"2020-05-19 16:55:45","2020-05-19 16:55:44"
WP0AF2A97KS165028,2019,49,717,42.129588,-88.133950,0,57,"2020-05-19 13:56:24","2020-05-19 20:29:31"
WP1AE2A26HLA70306,2017,49,722,42.131892,-88.132858,0,57,"2020-05-19 13:49:42","2020-05-19 18:59:05"
WP0AA2A88JK261058,2018,49,720,42.131894,-88.132787,0,57,"2020-05-19 13:31:08","2020-05-19 18:58:22"
WP0AB2A97LS225306,2020,49,717,41.273592,-75.804951,14,395,"2020-05-18 18:07:10","2020-05-19 16:58:36"
WP0CA2A93LS251221,2020,49,717,41.273592,-75.804951,20,395,"2020-05-18 18:06:24","2020-05-19 16:57:41"
WP0AA2A90LS205370,2020,49,717,41.273592,-75.804951,21,395,"2020-05-18 18:05:29","2020-05-19 16:57:17"
WP0AB2A9XLS228491,2020,49,717,41.273593,-75.804950,12,395,"2020-05-18 18:04:34","2020-05-19 16:56:42"
WP1AB2AY8LDA28350,2020,49,722,41.273595,-75.804948,51,395,"2020-05-18 17:47:53","2020-05-19 17:00:08"
WP0CB2A9XLS262438,2020,49,717,42.131794,-88.132600,0,57,"2020-05-18 16:11:20","2020-05-19 14:14:29"
WP1AA2A21GLA06538,2016,49,722,42.129581,-88.133787,0,57,"2020-05-16 14:57:51","2020-05-18 21:26:38"
WP0CD2A90CS773568,2012,49,717,43.957475,-92.464918,38,450,"2020-05-15 19:56:58","2020-05-15 19:56:57"
WP0AB2A76GL050884,2016,49,715,41.809150,-87.991032,50,453,"2020-05-14 20:41:44","2020-05-14 20:41:43"
WP0AB2A93JS122719,2018,49,717,42.131620,-88.132868,0,57,"2020-05-14 16:27:51","2020-05-19 17:01:13"
WP1AF2A2XGKA44289,2016,49,722,42.129517,-88.133479,0,57,"2020-05-13 17:46:10","2020-05-14 20:08:40"
WP1AE2A20JLA71537,2018,49,722,42.131770,-88.132753,0,57,"2020-05-13 14:28:15","2020-05-15 13:22:12"
WP0AA2A74JL104208,2018,49,715,42.129592,-88.133791,0,57,"2020-05-13 14:28:15","2020-05-14 13:36:07"
WP1AA2A24HKA83931,2017,49,722,42.129594,-88.133795,0,57,"2020-05-13 14:28:15","2020-05-14 13:42:40"
WP1AE2A25HLA70720,2017,49,722,42.129547,-88.133792,0,57,"2020-05-13 14:28:15","2020-05-15 19:15:34"
WP1AE2A29HLA73362,2017,49,722,42.129586,-88.133778,0,57,"2020-05-13 14:28:15","2020-05-14 13:33:51"
WP1AE2A25JLA72473,2018,49,722,42.129594,-88.133795,0,57,"2020-05-13 14:28:15","2020-05-14 13:42:40"
WP0AF2A71JL141766,2018,49,715,42.129479,-88.133533,0,57,"2020-05-13 14:28:15","2020-05-14 20:08:09"
WP1AD2A24DLA76912,2013,49,722,42.129521,-88.133839,0,57,"2020-05-13 14:28:15","2020-05-15 19:15:11"
WP1AB2A52JLB34091,2018,49,719,42.131867,-88.133054,0,57,"2020-05-13 13:36:51","2020-05-13 17:29:19"
